Driving Task: assets/DrivingTasks/Projects/init_drive/init_drive.xml
Creation Time: 2023-01-23 11:20:37.430
Driver: TestDriver
Used Format = Time (ms) : Timestamp : Position (x,y,z) : Rotation (x,y,z,w) : Speed (km/h) : Steering Wheel Position [-1,1] : Gas Pedal Position : Brake Pedal Position : Engine Running : Front Position(x,y,z) : Reference Objects
1674469238860:2023-01-23 11.20.38.860:-780.9522:0.13601404:96.09932:3.7872535E-4:0.707033:-3.784698E-4:0.7071804:45.65:1.5683298E-5:0.0:0.0:false:-795.9099:1.1520773:96.0962:[]
1674469238886:2023-01-23 11.20.38.886:-781.4599:0.13601415:96.09923:3.7855242E-4:0.707034:-3.782574E-4:0.70717937:45.71:1.566931E-5:0.0:0.0:false:-796.41754:1.1520693:96.096146:[]
1674469238938:2023-01-23 11.20.38.938:-782.09534:0.13601427:96.09911:3.7830605E-4:0.70703524:-3.7799994E-4:0.7071781:45.77:1.564505E-5:0.0:0.0:false:-797.0529:1.152059:96.096085:[]
1674469238985:2023-01-23 11.20.38.985:-782.7316:0.13601434:96.099:3.779785E-4:0.70703655:-3.7767852E-4:0.7071768:45.84:1.5619913E-5:0.0:0.0:false:-797.68915:1.1520456:96.09602:[]
1674469239033:2023-01-23 11.20.39.033:-783.36884:0.13601439:96.098885:3.7761827E-4:0.7070378:-3.773248E-4:0.70717555:45.9:1.5603238E-5:0.0:0.0:false:-798.3263:1.15203:96.09596:[]
1674469239099:2023-01-23 11.20.39.099:-784.13464:0.13601448:96.09875:3.7723218E-4:0.7070393:-3.7695124E-4:0.70717406:45.97:1.5585803E-5:0.0:0.0:false:-799.09204:1.152014:96.095894:[]
1674469239140:2023-01-23 11.20.39.140:-784.77374:0.13601455:96.09863:3.7692592E-4:0.7070406:-3.7665016E-4:0.70717275:46.03:1.5558302E-5:0.0:0.0:false:-799.7311:1.152001:96.09583:[]
1674469239188:2023-01-23 11.20.39.188:-785.41364:0.13601463:96.09852:3.7662222E-4:0.70704186:-3.7633668E-4:0.7071715:46.09:1.5529804E-5:0.0:0.0:false:-800.3709:1.1519883:96.09577:[]
1674469239234:2023-01-23 11.20.39.234:-786.05444:0.1360147:96.098404:3.763175E-4:0.7070431:-3.7603188E-4:0.70717025:46.15:1.550971E-5:0.0:0.0:false:-801.01166:1.1519752:96.09571:[]
1674469239283:2023-01-23 11.20.39.283:-786.8244:0.13601479:96.09827:3.7590117E-4:0.7070445:-3.75606E-4:0.7071688:46.22:1.545802E-5:0.0:0.0:false:-801.78156:1.1519575:96.095634:[]
1674469239332:2023-01-23 11.20.39.332:-787.59546:0.13601488:96.09813:3.7550722E-4:0.70704573:-3.7519124E-4:0.70716757:46.29:1.5444688E-5:0.0:0.0:false:-802.55255:1.15194:96.09555:[]
1674469239383:2023-01-23 11.20.39.383:-788.4962:0.13540551:96.09809:5.2248145E-4:0.70705485:8.806772E-5:0.70715845:46.36:1.510925E-5:0.0:0.0:false:-803.45325:1.1441967:96.0959:[]
1674469239435:2023-01-23 11.20.39.435:-789.1407:0.13573611:96.097946:4.3503958E-4:0.70705664:-1.9612258E-4:0.7071568:46.41:1.498298E-5:0.0:0.0:false:-804.09766:1.14887:96.095825:[]
1674469239491:2023-01-23 11.20.39.491:-789.7858:0.13596237:96.0978:3.7471912E-4:0.7070577:-3.8109208E-4:0.7071556:46.47:1.49260995E-5:0.0:0.0:false:-804.7428:1.1519506:96.09573:[]
1674469239533:2023-01-23 11.20.39.533:-790.3024:0.13602705:96.09771:3.6077038E-4:0.70705867:-4.1793627E-4:0.70715463:46.51:1.4895177E-5:0.0:0.0:false:-805.25934:1.1525732:96.09568:[]
1674469239585:2023-01-23 11.20.39.585:-790.8195:0.13603786:96.09765:3.6293728E-4:0.7070597:-4.0638598E-4:0.7071536:46.55:1.4863526E-5:0.0:0.0:false:-805.77637:1.1523926:96.09566:[]
1674469239632:2023-01-23 11.20.39.632:-791.20764:0.13603033:96.0976:3.6755E-4:0.7070605:-3.899761E-4:0.7071528:46.58:1.4863526E-5:0.0:0.0:false:-806.1645:1.1521267:96.09565:[]
1674469239692:2023-01-23 11.20.39.692:-791.85516:0.1360137:96.09753:3.7362924E-4:0.70706165:-3.7066467E-4:0.70715165:46.63:1.4822086E-5:0.0:0.0:false:-806.81195:1.151808:96.09563:[]
1674469239741:2023-01-23 11.20.39.741:-792.50336:0.13600837:96.09745:3.7541275E-4:0.70706266:-3.6662037E-4:0.70715064:46.68:1.4788862E-5:0.0:0.0:false:-807.4601:1.1517442:96.09559:[]
1674469239794:2023-01-23 11.20.39.794:-793.1522:0.13601153:96.097374:3.7449668E-4:0.70706385:-3.697882E-4:0.70714945:46.73:1.4763875E-5:0.0:0.0:false:-808.10895:1.1517969:96.095566:[]
1674469239849:2023-01-23 11.20.39.849:-793.80176:0.13601457:96.0973:3.7321556E-4:0.7070651:-3.724143E-4:0.7071482:46.78:1.4729211E-5:0.0:0.0:false:-808.7584:1.151832:96.09554:[]
1674469239903:2023-01-23 11.20.39.903:-794.45197:0.13601586:96.09722:3.724665E-4:0.7070663:-3.7284175E-4:0.707147:46.83:1.4693828E-5:0.0:0.0:false:-809.4086:1.1518276:96.09551:[]
1674469239933:2023-01-23 11.20.39.933:-794.9726:0.13601606:96.09716:3.721465E-4:0.70706725:-3.7242565E-4:0.70714605:46.87:1.4657606E-5:0.0:0.0:false:-809.9292:1.1518126:96.0955:[]
1674469239987:2023-01-23 11.20.39.987:-795.6241:0.13477322:96.097084:6.890564E-4:0.7070683:-6.8889523E-4:0.70714456:46.92:1.4611695E-5:0.0:0.0:false:-810.5806:1.1637533:96.095474:[]
1674469240057:2023-01-23 11.20.40.057:-795.75446:0.13457477:96.09707:7.387703E-4:0.7070685:-7.3853595E-4:0.70714426:46.93:1.4611695E-5:0.0:0.0:false:-810.71094:1.1659786:96.09547:[]
1674469240097:2023-01-23 11.20.40.097:-796.40674:0.1347738:96.09699:6.836562E-4:0.70706975:-6.8322534E-4:0.7071431:46.98:1.45739305E-5:0.0:0.0:false:-811.3632:1.1644789:96.09544:[]
1674469240151:2023-01-23 11.20.40.151:-797.05963:0.13559371:96.09692:4.7509788E-4:0.7070711:-4.7472597E-4:0.70714206:47.02:1.4535453E-5:0.0:0.0:false:-812.0161:1.1561208:96.09541:[]
1674469240207:2023-01-23 11.20.40.207:-797.71313:0.13605642:96.09684:3.602094E-4:0.70707256:-3.5993152E-4:0.7071409:47.06:1.4496143E-5:0.0:0.0:false:-812.66956:1.1513956:96.09539:[]
1674469240235:2023-01-23 11.20.40.235:-798.2364:0.13614455:96.09678:3.390313E-4:0.7070734:-3.3879303E-4:0.7071399:47.1:1.4447213E-5:0.0:0.0:false:-813.19275:1.1504823:96.095375:[]
1674469240289:2023-01-23 11.20.40.289:-798.8909:0.13609481:96.096725:3.5159703E-4:0.7070747:-3.5133425E-4:0.7071388:47.14:1.4406364E-5:0.0:0.0:false:-813.8472:1.1509432:96.09536:[]
1674469240333:2023-01-23 11.20.40.333:-799.415:0.13602968:96.096695:3.67519E-4:0.7070758:-3.6725486E-4:0.7071375:47.17:1.43559355E-5:0.0:0.0:false:-814.3713:1.1515808:96.09539:[]
1674469240389:2023-01-23 11.20.40.389:-800.0706:0.13598679:96.09666:3.775895E-4:0.7070769:-3.7736708E-4:0.7071364:47.21:1.4313571E-5:0.0:0.0:false:-815.02686:1.1520034:96.09539:[]
1674469240436:2023-01-23 11.20.40.436:-800.5955:0.13598782:96.09663:3.7717083E-4:0.707078:-3.7691658E-4:0.70713544:47.25:1.4270392E-5:0.0:0.0:false:-815.5517:1.1519982:96.095406:[]
1674469240489:2023-01-23 11.20.40.489:-800.98944:0.13599782:96.0966:3.7465774E-4:0.7070787:-3.7438906E-4:0.7071347:47.27:1.4270392E-5:0.0:0.0:false:-815.9456:1.1519:96.095406:[]
1674469240539:2023-01-23 11.20.40.539:-801.64636:0.1360127:96.096565:3.7094852E-4:0.70707977:-3.7068478E-4:0.70713353:47.31:1.42176905E-5:0.0:0.0:false:-816.60254:1.1517496:96.09542:[]
1674469240596:2023-01-23 11.20.40.596:-802.3039:0.13601863:96.09653:3.6943355E-4:0.70708114:-3.6916326E-4:0.7071323:47.35:1.4181874E-5:0.0:0.0:false:-817.2601:1.151687:96.095436:[]
1674469240650:2023-01-23 11.20.40.650:-802.962:0.13601866:96.09649:3.6924775E-4:0.70708233:-3.6898121E-4:0.70713097:47.39:1.4127827E-5:0.0:0.0:false:-817.9181:1.1516778:96.09546:[]
1674469240710:2023-01-23 11.20.40.710:-803.62054:0.13601705:96.09645:3.6947866E-4:0.7070836:-3.6923698E-4:0.70712984:47.43:1.4072874E-5:0.0:0.0:false:-818.5766:1.1516873:96.09547:[]
1674469240735:2023-01-23 11.20.40.735:-804.14777:0.13601615:96.09642:3.6954266E-4:0.7070846:-3.6930735E-4:0.7071288:47.46:1.4034715E-5:0.0:0.0:false:-819.1038:1.1516894:96.095474:[]
1674469240785:2023-01-23 11.20.40.785:-804.6753:0.13601594:96.09639:3.6953608E-4:0.70708543:-3.6930147E-4:0.70712787:47.49:1.3978426E-5:0.0:0.0:false:-819.63135:1.15169:96.09549:[]
1674469240836:2023-01-23 11.20.40.836:-804.9392:0.13601601:96.096375:3.694568E-4:0.707086:-3.6921035E-4:0.7071274:47.5:1.3978426E-5:0.0:0.0:false:-819.8952:1.1516864:96.09549:[]
